,name,calories,total_fat,sodium,protein,sugars,carbohydrate
5800,"Pork, roasted, separable fat (from ham and arm picnic), cured",591,62g,624.00 mg,7.64 g,0,0.00 g
5801,"Cereals ready-to-eat, KELLOGG'S APPLE JACKS with marshmallows",378,2.8g,381.00 mg,4.30 g,51.10 g,89.60 g
5802,"Chicken, roasted, cooked, meat only, wing, broilers or fryers",203,8.1g,92.00 mg,30.46 g,0.00 g,0.00 g
5803,"Fast foods, regular patty; with condiments, hamburger; double",268,15g,345.00 mg,14.80 g,0,18.02 g
5804,"Cereals ready-to-eat, CAP'N CRUNCH'S Halloween Crunch, QUAKER",402,5.7g,719.00 mg,4.41 g,43.82 g,85.14 g
5805,"Potatoes, dry form, granules without milk, dehydrated, mashed",372,0.5g,67.00 mg,8.22 g,3.47 g,85.51 g
5806,"Seal, partially dried (Alaska Native), meat, bearded (Oogruk)",270,2.3g,130.00 mg,62.38 g,0.00 g,0.00 g
5807,"Cereals, dry, enriched, regular and quick, yellow, corn grits",368,1.5g,2.00 mg,6.72 g,0.55 g,79.91 g
5808,"CRUNCHMASTER, Gluten-Free, Snack Crackers, Multi-Grain Crisps",456,16g,370.00 mg,10.91 g,0.80 g,67.18 g
5809,"Pork, raw, frozen, ears, variety meats and by-products, fresh",234,15g,191.00 mg,22.45 g,0,0.60 g
5810,"Seeds, without salt, roasted, whole, pumpkin and squash seeds",446,19g,18.00 mg,18.55 g,0,53.75 g
5811,"Beef, simmered, cooked, tongue, variety meats and by-products",284,22g,65.00 mg,19.29 g,0.00 g,0.00 g
5812,"Soup, prepared with equal volume water, canned, turkey noodle",28,0.8g,334.00 mg,1.60 g,0,3.54 g
5813,"CAMPBELL'S CHUNKY Soups, Grilled Chicken & Sausage Gumbo Soup",57,1.2g,347.00 mg,2.86 g,1.63 g,8.57 g
5814,"Beverages, fortified with vitamin C, light, Apple juice drink",22,0.1g,13.00 mg,0.00 g,4.80 g,5.10 g
5815,"Mollusks, made from surimi, imitation, mixed species, scallop",99,0.4g,795.00 mg,12.77 g,0,10.62 g
5816,"Puddings, prepared with whole milk, regular, dry mix, vanilla",113,2.9g,156.00 mg,2.80 g,17.09 g,18.92 g
5817,"Puddings, prepared with whole milk, instant, dry mix, vanilla",114,2.9g,286.00 mg,2.70 g,18.03 g,19.70 g
5818,"Milk, with added vitamin A and vitamin D, fat free, chocolate",67,0g,110.00 mg,3.39 g,9.32 g,13.46 g
5819,"Peaches, solids and liquids, heavy syrup pack, canned, spiced",75,0.1g,4.00 mg,0.41 g,18.78 g,20.08 g
5820,"Chicken, not reheated, frozen, precooked, white meat, nuggets",261,15g,538.00 mg,14.36 g,1.27 g,16.24 g
5821,"Turkey from whole, roasted, cooked, meat and skin, light meat",177,5.6g,101.00 mg,29.55 g,0.00 g,0.05 g
5822,"Babyfood, toddler, chicken and noodle with vegetables, dinner",66,1.7g,235.00 mg,3.80 g,0.82 g,8.89 g
5823,"Crustaceans, breaded and fried, cooked, mixed species, shrimp",242,12g,344.00 mg,21.39 g,0.80 g,11.47 g
5824,"CAMPBELL'S Red and White, condensed, Fiesta Nacho Cheese Soup",97,6.5g,637.00 mg,2.42 g,1.61 g,8.06 g
5825,"Bread, refrigerated, commercially prepared, whole wheat, naan",286,6.7g,467.00 mg,10.20 g,3.40 g,46.21 g
5826,"Cereals, banana bread, Weight Control Instant Oatmeal, QUAKER",361,6.2g,619.00 mg,16.50 g,1.29 g,64.42 g
5827,"Cereals, dry, maple and brown sugar, fortified, instant, oats",368,4.7g,505.00 mg,9.25 g,30.28 g,76.67 g
5828,"Fast Foods, meat and skin and breading, Breast, Fried Chicken",230,12g,657.00 mg,23.51 g,0.00 g,6.03 g
5829,"Lamb, soaked and fried, cooked, testes, imported, New Zealand",125,4.6g,118.00 mg,21.01 g,0.00 g,0.00 g
5830,"Lamb, soaked and fried, cooked, brains, imported, New Zealand",154,11g,101.00 mg,14.03 g,0.00 g,0.00 g
5831,"Margarine-like, with salt, tub, 60% fat, vegetable oil spread",533,60g,615.00 mg,0.17 g,0.00 g,0.86 g
5832,"LITTLE CAESARS 14"" Original Round Cheese Pizza, Regular Crust",265,9.5g,454.00 mg,13.39 g,4.02 g,31.50 g
5833,"Babyfood, strained, with applesauce and bananas, rice, cereal",80,0.4g,4.00 mg,1.20 g,2.24 g,17.10 g
5834,"USDA Commodity, raw, frozen, bulk/coarse ground, ground, beef",228,17g,57.00 mg,17.37 g,0,0.00 g
5835,"Seeds, without salt, roasted, pumpkin and squash seed kernels",574,49g,18.00 mg,29.84 g,1.29 g,14.71 g
5836,"Corn, unprepared, kernels cut off cob, frozen, yellow, sweet",88,0.8g,3.00 mg,3.02 g,2.50 g,20.71 g
5837,"Chicken, flour, fried, cooked, skin only, broilers or fryers",502,43g,53.00 mg,19.09 g,0,9.34 g
5838,"Beverages, Ready-to-Drink, Nutritional Shake, ENSURE, ABBOTT",105,2.5g,84.00 mg,3.80 g,9.70 g,16.88 g
5839,"Cheese, low sodium, cheddar or American, pasteurized process",376,31g,7.00 mg,22.20 g,0.45 g,1.60 g
5840,"Fish, smoked (Alaska Native), canned, (sockeye), red, salmon",206,7.3g,600.00 mg,35.19 g,0.00 g,0.00 g
5841,"Veal, braised, cooked, thymus, variety meats and by-products",125,3.1g,59.00 mg,22.67 g,0.00 g,0.00 g
5842,"Veal, braised, cooked, spleen, variety meats and by-products",129,2.9g,58.00 mg,24.08 g,0,0.00 g
5843,"Lamb, braised, cooked, spleen, variety meats and by-products",156,4.8g,58.00 mg,26.46 g,0,0.00 g
5844,"Cookies, with creme filling, chocolate sandwich, gluten-free",474,18g,275.00 mg,2.19 g,49.00 g,76.03 g
5845,"Chicken, stewed, cooked, meat only, back, broilers or fryers",209,11g,67.00 mg,25.31 g,0.00 g,0.00 g
5846,"Beans, solids and liquids, regular pack, canned, green, snap",15,0.2g,192.00 mg,0.72 g,1.25 g,3.27 g
5847,"Cereals ready-to-eat, chocolate-flavored frosted puffed corn",405,3.5g,534.00 mg,3.34 g,43.70 g,87.20 g
5848,"Beans, with salt, boiled, cooked, mature seeds, black turtle",130,0.4g,239.00 mg,8.18 g,0.32 g,24.35 g
5849,"USDA Commodity, unheated, cooked, boneless, ham, cured, pork",133,6.2g,1210.00 mg,17.44 g,0,0.69 g
5850,"Puddings, prepared with 2% milk, instant, dry mix, chocolate",105,1.9g,284.00 mg,3.15 g,0,18.89 g
5851,"Soybeans, with salt, steamed, cooked, sprouted, mature seeds",81,4.5g,246.00 mg,8.47 g,0.43 g,6.53 g
5852,"Puddings, prepared with whole milk, instant, dry mix, banana",115,2.8g,290.00 mg,2.62 g,17.38 g,19.76 g
5853,"Chicken, fried, cooked, meat only, thigh, broilers or fryers",218,10g,95.00 mg,28.18 g,0,1.18 g
5854,"Peppers, without salt, drained, boiled, cooked, green, sweet",28,0.2g,2.00 mg,0.92 g,3.19 g,6.70 g
5855,"Shortening industrial, soybean (hydrogenated) and cottonseed",884,100g,0.00 mg,0.00 g,0.00 g,0.00 g
5856,"Cookies, plain or honey (includes cinnamon), graham crackers",430,11g,459.00 mg,6.69 g,24.85 g,77.66 g
5857,"Rice, dry, enriched, precooked or instant, long-grain, white",380,0.9g,10.00 mg,7.82 g,0.05 g,82.32 g
5858,"Grapefruit, solids and liquids, water pack, canned, sections",36,0.1g,2.00 mg,0.58 g,8.75 g,9.15 g
5859,"Nuts, raw (liquid expressed from grated meat), coconut cream",330,35g,4.00 mg,3.63 g,0,6.65 g
5860,"Cereals, dry, enriched, regular and quick, white, corn grits",370,1.8g,1.00 mg,7.65 g,0.57 g,79.09 g
5861,"Cereals ready-to-eat, Dulce De Leche CHEERIOS, GENERAL MILLS",378,5.7g,509.00 mg,6.50 g,20.89 g,82.00 g
5862,"Cereals ready-to-eat, APPLE CINNAMON CHEERIOS, GENERAL MILLS",386,6.1g,390.00 mg,8.30 g,34.20 g,79.90 g
5863,"Wheat flour, calcium-fortified, enriched, all-purpose, white",364,1g,2.00 mg,10.33 g,0,76.31 g
5864,"Frostings, prepared with margarine, dry mix, creamy, vanilla",413,13g,114.00 mg,0.34 g,0,74.28 g
5865,"Cookies, reduced fat, with creme filling, chocolate sandwich",436,13g,471.00 mg,2.94 g,41.18 g,76.17 g
5866,"Restaurant, spaghetti with pomodoro sauce (no meat), Italian",104,1.9g,191.00 mg,3.90 g,1.82 g,17.77 g
5867,"Cereals ready-to-eat, RAISIN BRAN CRUNCH, KELLOGG'S, KELLOGG",354,1.8g,358.00 mg,6.59 g,35.20 g,84.90 g
5868,"CAMPBELL'S CHUNKY Soups, Hearty Chicken with Vegetables Soup",45,0.8g,290.00 mg,2.45 g,1.22 g,6.94 g
5869,"HOT POCKETS, frozen, meatballs & mozzarella stuffed sandwich",253,10g,439.00 mg,9.32 g,7.73 g,30.45 g
5870,"Squash, with salt, boiled, cooked, frozen, butternut, winter",39,0.1g,238.00 mg,1.23 g,0,10.04 g
5871,"Beef, braised, cooked, spleen, variety meats and by-products",145,4.2g,57.00 mg,25.10 g,0,0.00 g
5872,"Beef, braised, cooked, thymus, variety meats and by-products",319,25g,116.00 mg,21.85 g,0,0.00 g
